Kanji,Onyomi,Kunyomi,English
不,フ、ブ,None,non-; negative; bad
世,セ、セイ、ソウ,よ,generation; public; society; world
主,シュ、シュウ、ス,おも、ぬし,chief; lord; main thing; master; principal
乗,ショウ、ジョウ,の・せる、の・る,board; ride; counter for vehicles; multiplication; power
事,ジ,こと,business; fact; matter; possibly; reason; thing
京,キョウ,みやこ,capital
仕,シ、ジ,つか・える,attend; doing; official; serve
代,タイ、ダイ,かわ・る、か・える,change; replace; substitute; convert; counter for decades of ages; fee; generation; period
以,イ,None,because; by means of; compared with
会,エ、カイ,あ・う、あ・わせる、あつ・まる,association; interview; join; meet; meeting; party
低,テイ,ひく・い、ひく・まる、ひく・める,humble; lower; short
住,ジュウ、チュウ、ヂュウ,す・まう、す・む,live; reside
体,タイ、テイ,かたち、からだ,body; object; substance
作,サ、サク,つく・り、つく・る,build; make; prepare; production
使,シ,つか・い、つか・う,ambassador; use
便,ビン、ベン,たよ・り,convenience; facility; feces; letter
借,シャク,か・りる,borrow; rent
働,ドウ,はたら・く,work
元,ガン、ゲン,もと,beginning; origin; former time
兄,キョウ,あに,elder brother
光,コウ,ひか・る,light; ray
公,ク、コウ,おおやけ,governmental; public
写,シャ、ジャ,うつ・す、うつ・る,copy
冬,トウ,ふゆ,winter
切,サイ、セツ,き・る、き・れる,be sharp; cut
別,ベツ,わか・れる、わ・ける,branch off; fork; separate
力,リイ、リキ、リョク,ちから,power; strength
勉,ベン,つと・める,diligent; make effort; strive
動,ドウ,うご・かす、うご・く,change; confusion; motion; move; shake; shift
区,ク、コウ,None,district; ward
医,イ,い・する、い・やす,doctor; medicine
去,キョ、コ,さ・る,eliminate; leave; past; quit
口,ク、コウ,くち,mouth
古,コ,ふる・い,old
台,タイ、ダイ,つかさ,a stand; counter for machines and vehicles
合,カッ、ガッ、ゴウ,あ・う、あ・わせる,fit; join
同,ドウ,おな・じ,agree; equal; same
味,ミ,あじ、あじ・わう,flavor; taste
品,ヒン,しな,goods; refinement
員,イン,None,employee; member
問,モン,と・う,ask; problem; question
回,カイ,まわ・す、まわ・る,～ times; revolve
図,ズ、ト,はか・る,map; plan
地,ジ、チ,None,earth; ground
堂,ドウ,None,hall
場,ジョウ,ば,location; place
声,ショウ、セイ,こえ,voice
売,バイ,う・る、う・れる,sell
夏,カ、ガ,なつ,summer
夕,None,ゆう,evening
多,タ,おお・い,frequent; many
夜,ヤ,よ、よる,evening
太,タ、タイ,ふと・い、ふと・る,plump; thick
好,コウ,この・む、す・く,fond; pleasing
妹,マイ,いもうと,younger sister
姉,シ,あね,elder sister
始,シ,はじ・まる、はじ・める,begin
字,ジ,あざ,character; letter
安,アン,やす・い、やす・まる,cheap; peaceful; relaxed
室,シツ,None,chamber; room
家,カ、ケ,いえ、うち、や,family; home; expert; professional
寒,カン,さむ・い,cold
少,ショウ,すく・ない、すこ・し,few
屋,オク,や,house; roof; shop
工,ク、コウ,None,construction; craft; katakana e radical (no. 48)
市,シ,いち,city; market
帰,キ,かえ・る,come home
広,コウ,ひろ・い、ひろ・がる、ひろ・げる、ひろ・まる、ひろ・める,wide
店,テン,みせ,shop; store
度,タク、ド,たび,degrees; occurrence; time
建,ケン,た・つ、た・てる,build
引,イン,ひ・く、ひ・ける,pull
弟,ダイ,おとうと,younger brother
弱,ジャク,よわ・い、よわ・まる、よわ・める,frail; weak
強,キョウ、ゴウ,つよ・い、つよ・まる、つよ・める,strong
待,タイ,ま・つ,depend on; wait
心,シン,こころ,heart; mind; spirit
思,シ,おも・う,think
急,キュウ,いそ・ぎ、いそ・ぐ,emergency; hurry
悪,アク,わる・い,bad; evil
意,イ,None,care; desire; thought
所,ショ,ところ、どころ,extent; place
手,シュ、ズ,て,hand
持,ジ,も・つ、も・てる,have; hold
教,キョウ,おし・える、おそ・わる,doctrine; faith; teach
文,ブン、モン,あや、ふみ,art; decoration; literature
料,リョウ,None,fee; materials
新,シン,あたら・しい、あら・た,new
方,ホウ,かた,alternative; person
旅,リョ,たび,travel; trip
族,ゾク,None,family; tribe
早,サッ、ソウ,はや・い、はや・まる、はや・める,early; fast
明,ミョウ、メイ,あか・るい、あき・らか、あ・かり,bright; light
映,エイ,うつ・す、うつ・る、は・える,projection; reflection
春,シュン,はる,springtime
昼,チュウ,ひる,daytime; noon
暑,ショ,あつ・い,hot; sultry
暗,アン,くら・い、くら・む、くれ・る,darkness; grow dark
曜,ヨウ,None,weekday
有,ユウ,あ・る,exist; happen; possess
服,フク,None,clothing
朝,チョウ,あさ,morning; dynasty; period
