Kanji,Onyomi,Kunyomi,English
村,ソン,むら,town; village
林,リン,はやし,forest; grove
森,シン,もり,forest; woods
業,ギョウ、ゴウ,わざ,arts; vocation
楽,ガク、ゴウ、ラク,この・む、たの・しい、たの・しむ,comfort; ease
歌,カ,うた、うた・う,sing; song
止,シ,とど・まる、とど・める、と・まる、と・める、や・む、や・める,halt; stop
正,ショウ、セイ,ただ・しい、まさ・に,correct
歩,フ、ブ、ホ,あゆ・む、ある・く,counter for steps; walk
死,シ,し・ぬ,death
民,ミン,たみ,nation; people
池,チ,いけ,pond; pool
注,チュウ,さ・す、そそ・ぐ、つ・ぐ,annotate; comment; concentrate on; flow into
洋,ヨウ,None,ocean; sea; Western style; foreign
洗,セン,あら・う,inquire into; probe; wash
海,カイ,うみ,ocean
漢,カン,None,China; Sino-
牛,ギュウ,うし,cow
物,ブツ、モツ,もの,matter; object; thing
特,トク,None,special
犬,ケン,いぬ,dog
理,リ,ことわり,arrangement; justice; logic; reason
産,サン,う・まれる、う・む,childbirth; native; products; property
用,ヨウ,もち・いる,business; employ; use
田,デン,た,rice field; rice paddy
町,チョウ,まち,block; street; town; village
画,エ、カク、ガ,えが・く、はか・る,brush-stroke; picture
界,カイ,None,boundary; world
病,ビョウ,やまい、や・む,ill; sick
発,ハツ、ホツ,た・つ、つか・わす、はな・つ,departure; disclose; emit; publish; start from
目,ボク、モク,め,eye; insight; experience; favor
県,ケン,None,prefecture
真,シン,ま、まこと,Buddhist sect; reality; true
着,ジャク、チャク,き・せる、き・る、つ・く、つ・ける,arrive; don; wear
知,チ,し・らせる、し・る,know; wisdom
短,タン,みじか・い,brevity; short; defect; fault
研,ケン,と・ぐ,polish; sharpen
社,シャ,やしろ,association; company; shrine
私,シ,わたくし、わたし,I; me; private
秋,シュウ,あき,autumn
究,キュウ、ク,きわ・める,research; study
空,クウ,あ・く、あ・ける、から、す・く,empty; vacuum; sky
立,リツ、リュウ,た・つ、た・てる,erect; rise; stand up
答,トウ,こた・える,answer; solution
紙,シ,かみ,paper
終,シュウ,お・える、お・わる,end; finish
習,シュウ,なら・う,learn
考,コウ,かんが・える,consider
者,シャ,もの,person
肉,ニク,None,meat
自,シ、ジ,みずか・ら,oneself
色,シキ、ショク,いろ,color
花,カ,はな,flower
英,エイ,None,England; English
茶,サ、チャ,None,tea
菜,サイ,な,greens; vegetable
薬,ヤク,くすり,chemical; medicine
親,シン,おや、した・しい、した・しむ,parent; relative; intimacy
言,ゲン、ゴン,い・う,say; word
計,ケイ,はか・る,measure; plan
試,シ,こころ・みる、ため・す,test; try
説,セツ、ゼイ,と・く,explanation; opinion
買,バイ,か・う,buy
貸,タイ,か・す,lend
質,シチ、シツ、チ,None,matter; quality
赤,シャク、セキ,あか、あか・い、あか・らむ、あか・らめる,red
走,ソウ,はし・る,run
起,キ,お・きる、お・こす、お・こる,get up; wake up
足,ソク,あし、た・す、た・りる、た・る,leg; foot; be sufficient
転,テン,ころ・がす、ころ・がる、ころ・げる、ころ・ぶ,revolve
軽,ケイ,かる・い、かろ・やか,light; unimportant
近,キン、コン,ちか・い,akin; near
送,ソウ,おく・る,escort; send
通,ツ、ツウ,かよ・う、とお・す、とお・る,avenue; commute; pass through
週,シュウ,None,week
進,シン,すす・む、すす・める,advance; proceed
運,ウン,はこ・ぶ,carry; destiny; fate
道,トウ、ドウ,みち,road-way; street; teachings
遠,エン、オン,とお・い,far
都,ツ、ト,みやこ,capital; metropolis
重,ジュウ、チョウ,おも・い、かさ・なる、かさ・ねる,heavy; important; pile up
野,ヤ,の,field; rustic
銀,ギン,しろがね,silver
門,モン,かど,gate
開,カイ,あ・く、あ・ける、ひら・く、ひら・ける,open; unfold
院,イン,None,institution
集,シュウ,あつ・まる、あつ・める,flock; gather
青,ショウ、セイ,あお、あお・い,blue; green
音,イン、オン,おと、ね,noise; sound
頭,ズ、ト、トウ,あたま、かしら,head
題,ダイ,None,subject; topic
顔,ガン,かお,expression; face
風,フ、フウ,かぜ,air; manner; style; wind
飯,ハン,めし,boiled rice; meal
飲,イン,の・む,drink
館,カン,やかた,(large) building
首,シュ,くび,neck
駅,エキ,None,station
験,ケン、ゲン,None,testing; verification
魚,ギョ,さかな,fish
鳥,チョウ,とり,bird; chicken
黒,コク,くろ、くろ・い,black
